instrument_id,group_id,weight,active_from,active_to
SPY,micro_us_equity,1.0,2000-01-01,
QQQ,micro_us_equity,1.0,2000-01-01,
EURUSD,micro_fx_g10,1.0,2000-01-01,
USDJPY,micro_fx_g10,1.0,2000-01-01,
GOLD,micro_commodities,1.0,2000-01-01,
OIL,micro_commodities,1.0,2000-01-01,
US10Y_YIELD,micro_rates_us,1.0,2000-01-01,
HYG,micro_credit,1.0,2000-01-01,
LQD,micro_credit,1.0,2000-01-01,
SPY,mini_equity,1.0,2000-01-01,
QQQ,mini_equity,1.0,2000-01-01,
EURUSD,mini_fx,1.0,2000-01-01,
USDJPY,mini_fx,1.0,2000-01-01,
GOLD,mini_cmdty,1.0,2000-01-01,
OIL,mini_cmdty,1.0,2000-01-01,
US10Y_YIELD,mini_rates,1.0,2000-01-01,
HYG,mini_credit,1.0,2000-01-01,
LQD,mini_credit,1.0,2000-01-01,
US2Y_YIELD,micro_rates_us,1.0,2000-01-01,
US30Y_YIELD,micro_rates_us,1.0,2000-01-01,
TBILL3M_YIELD,micro_rates_us,1.0,2000-01-01,
US2Y_YIELD,mini_rates,1.0,2000-01-01,
US30Y_YIELD,mini_rates,1.0,2000-01-01,
TBILL3M_YIELD,mini_rates,1.0,2000-01-01,
